product_id,sales_usd,quantity,price_usd,cogs_usd,date_time,account_id,country_code,account,master_id,latitude2,longitude,country2,postal_code,street_name,street_number,product_family,product_family_id,product_group,product_group_id,product_name,product_name_id,product_size,produt_type,gross_profit_usd,gross_margin_pct,year,month,year_month
2625,16156.56,502.0,32.18438247011952,14104.67688,2024-03-29,1599-E6G-78670,CA,"Gerlach, Cassin and Parker",1599,45.9891389,-67.2412221,Canada,E6G,Oneill,78670,Onagraceae,1122,New Mexico Beeblossom,3600,"Lycopodium hickeyi W.H. Wagner, Beitel & Moran",2625,Medium,Landscape,2051.8831199999986,0.12699999999999992,2024,3,2024-03
2569,13831.29,679.92,20.34252559124603,10470.28653,2022-07-13,1227--40,CN,Ziemann LLC,1227,37.943121,115.217658,China,0,Kipling,40,Myrtaceae,1117,Mountainbay,3577,Allium cernuum Roth var. neomexicanum (Rydb.) J.F. Macbr.,2569,Large,Indoor,3361.0034700000015,0.2430000000000001,2022,7,2022-07
2195,17402.14,925.66,18.79971047684895,10528.294699999999,2023-04-05,1857--758,CN,"Medhurst, Aufderhar and Mosciski",1857,26.170171,118.190467,China,0,Glendale,758,Capparaceae,1037,Falseteeth,3238,Cuscuta epithymum (L.) L.,2195,Small,Indoor,6873.845300000001,0.3950000000000001,2023,4,2023-04
2530,15866.42,809.78,19.59349452937835,12883.53304,2022-09-24,1793-6140-77,AR,Larson-Fritsch,1793,-33.9162938,-64.3897946,Argentina,6140,Manley,77,Polygonaceae,1143,Waldo Buckwheat,3749,Penstemon davidsonii Greene var. menziesii (D.D. Keck) Cronquist,2530,Large,Landscape,2982.88696,0.188,2022,9,2022-09
2889,6200.48,311.43,19.90970683620717,5388.217119999999,2023-10-19,1725-40230-69,MX,Jast-Quigley,1725,18.5591814,-99.5982999,Mexico,40230,Leroy,69,Fabaceae,1066,Arcane Milkvetch,3369,Chaerophyllum bulbosum L.,2889,Large,Outdoor,812.2628800000002,0.13100000000000003,2023,10,2023-10
2917,12922.96,765.03,16.892095734807786,7469.47088,2023-07-14,1381-52120-1971,TH,Swift Group,1381,18.2868231,99.4819782,Thailand,52120,Coolidge,1971,Fabaceae,1066,Arctic Locoweed,3370,Oxypolis filiformis (Walter) Britton,2917,Large,Outdoor,5453.489119999999,0.422,2023,7,2023-07
2842,7341.82,655.26,11.204437933034216,5014.46306,2022-07-20,1175-763029-6614,CO,"Batz, Weber and Stamm",1175,3.9878168,-75.946324,Colombia,763029,Kennedy,6614,Onagraceae,1122,Small Enchanter's Nightshade,3602,Phemeranthus parviflorus (Nutt.) Kiger,2842,Small,Indoor,2327.3569399999997,0.31699999999999995,2022,7,2022-07
2418,15192.87,716.74,21.197184474146834,8325.692760000002,2023-10-13,1537-60901-7,CR,Cole Inc,1537,9.477773,-84.2662901,Costa Rica,60901,Oak,7,Liliaceae,1098,Wild Tulip,3541,Daphnopsis helleriana Urb.,2418,Small,Outdoor,6867.177239999999,0.4519999999999999,2023,10,2023-10
2016,10912.96,487.51,22.38509979282476,6231.30016,2024-04-13,1213--612,CN,Cremin-Welch,1213,23.353501,116.078631,China,0,Welch,612,Iridaceae,1088,Annual Blue-eyed Grass,3482,Lomatium caruifolium (Hook. & Arn.) J.M. Coult. & Rose var. denticulatum (Jeps.) Jeps.,2016,Medium,Outdoor,4681.659839999999,0.429,2024,4,2024-04
2332,12225.87,671.64,18.203010541361444,7677.8463600000005,2023-06-11,2606--4,CN,Daugherty and Sons,2606,38.240395,114.926498,China,0,Hallows,4,Liliaceae,1098,Harvest Brodiaea,3525,Astragalus obcordatus Elliott,2332,Large,Outdoor,4548.02364,0.372,2023,6,2023-06
2420,11971.88,244.34,48.99680772693787,5818.333679999999,2022-09-15,1222-1266-45327,NO,"Beer, Raynor and Ernser",1222,59.8435756,10.8173713,Norway,1266,Michigan,45327,Cactaceae,1032,Roetter's Hedgehog Cactus,3221,Achnatherum hendersonii (Vasey) Barkworth,2420,Large,Indoor,6153.54632,0.514,2022,9,2022-09
2616,11273.93,318.68,35.376961215011924,7542.25917,2023-04-11,2151-275038-3,CO,Goyette-Wehner,2151,4.953434,-77.366019,Colombia,275038,Talmadge,3,Asteraceae,1020,Walter's Aster,3145,Castilleja pilosa (S. Watson) Rydb.,2616,Medium,Outdoor,3731.67083,0.331,2023,4,2023-04
2498,10230.19,536.38,19.072653715649356,5289.008230000001,2023-11-26,2205--6396,CN,Denesik Group,2205,32.009016,112.122426,China,0,Farmco,6396,Arecaceae,1015,Syagrus,3049,Horkelia fusca Lindl. ssp. pseudocapitata (Rydb. ex Howell) D.D. Keck,2498,Small,Indoor,4941.181769999999,0.4829999999999999,2023,11,2023-11
2122,12139.31,480.42,25.268119562049872,10342.69212,2023-03-07,1785-37-230-299,PL,"Kiehn, Schmitt and Fay",1785,49.9569799,22.3925325,Poland,37-230,Stephen,299,Cornaceae,1048,Redosier Dogwood,3286,Plantago coronopus L.,2122,Small,Outdoor,1796.6178799999998,0.148,2023,3,2023-03
2117,14083.18,574.29,24.522767243030525,9351.231520000001,2024-01-21,1561-87078-37437,MX,O'Hara and Sons,1561,23.7322067,-99.1829833,Mexico,87078,Milwaukee,37437,Iridaceae,1088,Abbeville Iris,3481,Ruellia caerulea Morong,2117,Large,Indoor,4731.948479999999,0.3359999999999999,2024,1,2024-01
2578,5944.2,147.4,40.3270013568521,2752.1646,2023-03-12,2224--74395,CN,Nolan-Toy,2224,36.7010563,118.9112031,China,0,Buena Vista,74395,Lecanoraceae,1093,Lecidella Lichen,3511,Phacelia formosula Osterh.,2578,Large,Indoor,3192.0353999999998,0.5369999999999999,2023,3,2023-03
2453,18412.85,26.11,705.2029873611642,13809.637499999999,2023-04-22,1846-3303-33,PH,"Stokes, Rohan and Satterfield",1846,14.7292218,121.051001,Philippines,3303,Corry,33,Asteraceae,1020,Hawkweed,3101,Chamaecrista glandulosa (L.) Greene var. glandulosa,2453,Medium,Landscape,4603.2125,0.25,2023,4,2023-04
2832,8469.87,210.06,40.321193944587264,5530.825110000002,2023-08-13,1383-7159-2,BG,Labadie Group,1383,43.5592985,25.9323591,Bulgaria,7159,Hoard,2,Liliaceae,1098,Agapanthus,3519,Hygrophila corymbosa (Blume) Lindau,2832,Small,Outdoor,2939.044889999999,0.34699999999999986,2023,8,2023-08
